"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","Tgt","Rec","Ctch.","Yds","Y.R","TD","Lng","Y.Tgt","R.G","Y.G","Fmb","Player_ID"
"218",218,"Elijah McGuire","0","McGuEl00","NYJ",24,"rb",8,3,31,19,0.613,193,10.2,1,20,6.2,2.4,24.1,2,"52ba29be1a6493c2fa40dc43e052544b5aebff7c"
"222",222,"Isaiah McKenzie","0","McKeIs00","2TM",23,NA,8,1,30,18,0.6,179,9.9,0,23,6,2.3,22.4,2,"23a5972c2a3eefeda13662a2c07396fb3f4623ab"
"225",225,"Ted Ginn","0","GinnTe00","NOR",33,"wr",5,3,30,17,0.567,209,12.3,2,42,7,3.4,41.8,1,"65ec506302dcb244c84c9725b6525ec797b6a545"
"234",234,"Breshad Perriman","0","PerrBr02","CLE",25,"wr",10,2,25,16,0.64,340,21.3,2,66,13.6,1.6,34,0,"b9cb1bcf0586073527bcfe2311a6ff4e7a93404b"
"235",235,"Terrelle Pryor","0","PryoTe00","2TM",29,NA,8,1,30,16,0.533,252,15.8,2,44,8.4,2,31.5,0,"2cd23bfd298d526ef59e9180ea249d5225a54469"
"239",239,"Marcell Ateman","0","AtemMa00","OAK",24,"wr",7,6,31,15,0.484,154,10.3,1,32,5,2.1,22,0,"87b9a3a8b9135c3aad9269fe26d05de2fafff78a"
"241",241,"Tyler Eifert","0","EifeTy00","CIN",28,"te",4,2,19,15,0.789,179,11.9,1,29,9.4,3.8,44.8,0,"4ef3bc7440bee05b955f95230209b9c3b4471e8e"
"245",245,"Darren Sproles","0","SproDa00","PHI",35,"rb",6,2,23,15,0.652,160,10.7,2,37,7,2.5,26.7,0,"690b602fa9960f3aa712c3e029498dc702cc6da0"
"259",259,"Keith Kirkwood","0","KirkKe00","NOR",25,"wr",8,1,21,13,0.619,209,16.1,2,42,10,1.6,26.1,0,"cae54577db6451125d32ad7ea73f8df1457e6dce"
"268",268,"Brandon LaFell","0","LaFeBr00","OAK",32,"wr",6,5,16,12,0.75,135,11.3,2,24,8.4,2,22.5,0,"9fae9184d2ea6d7b014d3bf14960949a8a55e970"
"269",269,"Eli Rogers","0","RogeEl00","PIT",26,"wr",3,3,14,12,0.857,79,6.6,0,17,5.6,4,26.3,1,"ff03bc12455cf83ab2f165899aa6d7c7c0c918fa"
"277",277,"Cody Latimer","0","LatiCo00","NYG",26,"wr",6,2,16,11,0.688,190,17.3,1,39,11.9,1.8,31.7,0,"32228742f4528d07f22ca3520573da6a832c459b"
"281",281,"Brandon Powell","0","PoweBr00","DET",22,"wr",6,1,17,11,0.647,129,11.7,0,41,7.6,1.8,21.5,0,"fa61fffa1b5621f1179ab58a5500f53080232243"
"284",284,"Deontay Burnett","0","BurnDe00","NYJ",21,"wr",5,1,15,10,0.667,143,14.3,0,29,9.5,2,28.6,0,"a5145eadfd4fc30419c575027179cd051afda436"
"302",302,"Trey Quinn","0","QuinTr00","WAS",23,"wr",3,2,10,9,0.9,75,8.3,1,15,7.5,3,25,0,"65ed05e92bb9b4b6b209e0f9fcb2380264e7ae2f"
"309",309,"Jake Butt","0","ButtJa00","DEN",23,"te",3,3,13,8,0.615,85,10.6,0,22,6.5,2.7,28.3,0,"f77d70e15cc9b01fbcd2f2af29a2a0ae1ce1b3c0"
"310",310,"Will Dissly","0","DissWi00","SEA",22,"te",4,4,14,8,0.571,156,19.5,2,66,11.1,2,39,0,"2cac1e877eccca06b7f73b1321108ea50664395c"
"312",312,"Jake Kumerow","0","KumeJa00","GNB",26,"wr",5,2,11,8,0.727,103,12.9,1,49,9.4,1.6,20.6,0,"3ede46062c4008046b12592c7a9c3c610125044a"
"338",338,"Marcus Johnson","0","JohnMa07","IND",24,NA,5,0,8,6,0.75,102,17,1,34,12.8,1.2,20.4,0,"2aca8163c9ccce4270a7f777319f7083a24ddd30"
"373",373,"Delanie Walker","0","WalkHu00","TEN",34,"te",1,1,7,4,0.571,52,13,0,16,7.4,4,52,0,"7571f1841a04a64116da2f06869adf7f6f0ff1c4"
"411",411,"D'Onta Foreman","0","ForeDO00","HOU",22,NA,1,0,2,2,1,28,14,1,20,14,2,28,1,"3392d9a1a679a73c09464f015b61aba84197b6e6"
"481",481,"Tyrone Swoopes","0","SwooTy00","SEA",24,"te",1,1,1,1,1,23,23,0,23,23,1,23,0,"aa0ed145206013f0a7b3c32278fadafd8f8c4a0c"
