"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","Tgt","Rec","Ctch.","Yds","Y.R","TD","Lng","Y.Tgt","R.G","Y.G","Fmb","Player_ID"
"74",74,"Vance McDonald","0","McDoVa00","PIT",28,"TE",15,14,72,50,0.694,610,12.2,4,75,8.5,3.3,40.7,2,"5bf6413fe2aa880d2cc9b333c92f43e3c8b05051"
"75",75,"Donte Moncrief","0","MoncDo00","JAX",25,"WR",16,14,89,48,0.539,668,13.9,3,80,7.5,3,41.8,1,"eb3e15acd351d6c5e07562062f3ed249ed932df6"
"76",76,"Rob Gronkowski","0","GronRo00","NWE",29,"TE",13,11,72,47,0.653,682,14.5,3,42,9.5,3.6,52.5,1,"0e972c34a76150cff5a24a82b428c37e509a0c94"
"77",77,"Duke Johnson","0","JohnDu00","CLE",25,"rb",16,2,62,47,0.758,429,9.1,3,32,6.9,2.9,26.8,1,"c16eb2b8b54985de1afd47d42148a759168b0b60"
"78",78,"A.J. Green","0","GreeA.00","CIN",30,"WR",9,9,77,46,0.597,694,15.1,6,38,9,5.1,77.1,2,"3b51d90098034a475d9261fb9e7560d928a04d1e"
"79",79,"Evan Engram","0","EngrEv00","NYG",24,"TE",11,8,64,45,0.703,577,12.8,3,54,9,4.1,52.5,0,"3bd689f5c39fcbef42515d14e3fd7be47af28107"
"80",80,"Seth Roberts","0","RobeSe00","OAK",27,"wr",15,7,64,45,0.703,494,11,2,44,7.7,3,32.9,0,"4fd5242901df5b589d36ce81596b1c7c60fa5cbd"
"81",81,"Josh Doctson","0","DoctJo00","WAS",26,"WR",15,12,78,44,0.564,532,12.1,2,32,6.8,2.9,35.5,0,"1d6feb610901db08d9aace57b44a186fb40737b5"
"82",82,"Devin Funchess","0","FuncDe00","CAR",24,"WR",14,12,79,44,0.557,549,12.5,4,27,6.9,3.1,39.2,0,"a314441b8826b870c81bfee84a71fcfbd6183d1a"
"83",83,"Antonio Callaway","0","CallAn00","CLE",21,"WR",16,11,79,43,0.544,586,13.6,5,71,7.4,2.7,36.6,1,"5b89d0a6a3ea59a96fb1a8ce97ef003ac4af2c55"
"84",84,"Christian Kirk","0","KirkCh01","ARI",22,"wr",12,7,68,43,0.632,590,13.7,3,75,8.7,3.6,49.2,0,"c3055770844e0e51c53d25d39dbeb3cd5fc97f78"
"85",85,"Joe Mixon","0","MixoJo00","CIN",22,"RB",14,13,55,43,0.782,296,6.9,1,21,5.4,3.1,21.1,0,"af09e7ed641ee7bf1c535c67ca07177dbad6fa7a"
"86",86,"C.J. Uzomah","0","UzomC.00","CIN",25,"TE",16,15,64,43,0.672,439,10.2,3,29,6.9,2.7,27.4,0,"bf925c65096d25ef0bc2a18e103cfc76f2e67e08"
"87",87,"Mike Williams","0","WillMi07","LAC",24,"wr",16,5,66,43,0.652,664,15.4,10,55,10.1,2.7,41.5,0,"6ae0d7103f0d8b8d107a9f1b2f52d57bd854a3ff"
"88",88,"Jarius Wright","0","WrigJa02","CAR",29,"fb/wr",16,6,59,43,0.729,447,10.4,1,33,7.6,2.7,27.9,3,"bdefefa6480137c8fb033bb68ee4241368ccaa05"
"89",89,"Kendrick Bourne","0","BourKe00","SFO",23,"WR",16,8,66,42,0.636,487,11.6,4,33,7.4,2.6,30.4,1,"e90e86a4982699ce101e153dce495b2d488643e3"
"90",90,"John Brown","0","BrowJo02","BAL",28,"WR",16,15,97,42,0.433,715,17,5,71,7.4,2.6,44.7,0,"d0b7b7483a2e6423bc570628b38586ac8fc50319"
"91",91,"Courtland Sutton","0","SuttCo00","DEN",23,"WR",16,9,84,42,0.5,704,16.8,4,42,8.4,2.6,44,0,"8829213fb8fb0fd4bc60e371206f16e0222dce7f"
"92",92,"Josh Gordon","0","GordJo02","2TM",27,NA,12,12,71,41,0.577,737,18,4,55,10.4,3.4,61.4,0,"537ce3628dc86467656824f15dc16b4135389227"
"93",93,"DeSean Jackson","0","JackDe00","TAM",32,"WR",12,10,74,41,0.554,774,18.9,4,75,10.5,3.4,64.5,0,"182458f02ff77c8ea2bfe491ab794ee1c8288355"
"94",94,"Chris Thompson","0","ThomCh03","WAS",28,NA,10,0,55,41,0.745,268,6.5,1,23,4.9,4.1,26.8,1,"db0feefe68962d7b3123b7c163d66d0514fb397e"
"95",95,"Tyrell Williams","0","WillTy00","LAC",26,"lcb/wr",16,10,65,41,0.631,653,15.9,5,75,10,2.6,40.8,2,"8d2463c42be9442e3a94b4a5ad5ea6103ea72388"
"96",96,"Dalvin Cook","0","CookDa01","MIN",23,"RB",11,10,49,40,0.816,305,7.6,2,27,6.2,3.6,27.7,2,"1db77a6314c9e11668c0cad0dff12740d0e4685b"
"97",97,"Cooper Kupp","0","KuppCo00","LAR",25,"WR",8,8,55,40,0.727,566,14.2,6,70,10.3,5,70.8,0,"8bd9e83da2ae7375817c10cfce7a7f70ae852b10"
